nr wiersza 0, nr kolumny 0, [r. suma nagród Q = [3024.0405, 3140.5999, 2909.4067, 2849.8723, 2837.4546, ]
nr wiersza 0, nr kolumny 1, [r. suma nagród Q = [3085.6467, 3016.5298, 3147.8179, 3068.7017, 2944.4487, ]
nr wiersza 0, nr kolumny 2, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 0, nr kolumny 3, [r. suma nagród Q = [3042.446, 3339.4692, 3169.245, 3089.9634, 2979.1802, ]
nr wiersza 0, nr kolumny 4, [r. suma nagród Q = [3216.2866, 3057.3677, 3406.6768, 3283.7227, 3072.366, ]
nr wiersza 0, nr kolumny 5, [r. suma nagród Q = [3090.5151, 3409.176, 3317.9717, 3272.0078, 3118.3745, ]
nr wiersza 0, nr kolumny 6, [r. suma nagród Q = [3239.0095, 3204.6184, 3419.8008, 3250.9282, 3273.6887, ]
nr wiersza 0, nr kolumny 7, [r. suma nagród Q = [2897.965, 2508.3738, 3135.2454, 3372.8389, 3063.8774, ]
nr wiersza 0, nr kolumny 8, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 0, nr kolumny 9, [r. suma nagród Q = [1072.4021, 2668.6995, 1341.3639, 811.93933, 928.7232, ]
nr wiersza 0, nr kolumny 10, [r. suma nagród Q = [1416.2389, 3157.1584, 778.0758, 22.788338, 122.01922, ]
nr wiersza 0, nr kolumny 11, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 0, [r. suma nagród Q = [3110.3853, 3138.3403, 3245.6982, 3029.9004, 3066.9072, ]
nr wiersza 1, nr kolumny 1, [r. suma nagród Q = [3114.1426, 3071.287, 3128.5479, 3173.7114, 3125.3572, ]
nr wiersza 1, nr kolumny 2, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 3, [r. suma nagród Q = [3246.913, 3422.1182, 3262.0503, 3250.5537, 3151.3062, ]
nr wiersza 1, nr kolumny 4, [r. suma nagród Q = [3303.375, 3432.8616, 3337.1982, 3368.9106, 3335.1096, ]
nr wiersza 1, nr kolumny 5, [r. suma nagród Q = [3336.2388, 3451.509, 3286.3916, 3351.7314, 3376.2654, ]
nr wiersza 1, nr kolumny 6, [r. suma nagród Q = [3399.0742, 3387.7307, 3490.4495, 3409.7976, 3396.8682, ]
nr wiersza 1, nr kolumny 7, [r. suma nagród Q = [3127.6497, 3105.104, 3178.9426, 3449.8354, 3238.901, ]
nr wiersza 1, nr kolumny 8, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 9, [r. suma nagród Q = [1879.0115, 3078.788, 1971.1318, 1920.876, 1009.24713, ]
nr wiersza 1, nr kolumny 10, [r. suma nagród Q = [2835.7954, 3419.7231, 2117.8992, 2265.3838, 1507.4788, ]
nr wiersza 1, nr kolumny 11, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 2, nr kolumny 0, [r. suma nagród Q = [3154.3708, 3300.3005, 3044.0027, 3148.8484, 3165.0188, ]
nr wiersza 2, nr kolumny 1, [r. suma nagród Q = [3245.9036, 3352.4329, 3220.8164, 3263.0957, 3138.7917, ]
nr wiersza 2, nr kolumny 2, [r. suma nagród Q = [3331.8032, 3394.8784, 3199.7522, 3304.8074, 3203.3135, ]
nr wiersza 2, nr kolumny 3, [r. suma nagród Q = [3271.8376, 3410.6528, 3296.541, 3263.0732, 3378.0361, ]
nr wiersza 2, nr kolumny 4, [r. suma nagród Q = [3251.4392, 3157.3435, 3227.2993, 3282.4568, 3425.1196, ]
nr wiersza 2, nr kolu
