nr wiersza 0, nr kolumny 0, [r. suma nagród Q = [-345.59216, -156.65372, -566.2937, -363.33618, -428.14404, ]
nr wiersza 0, nr kolumny 1, [r. suma nagród Q = [-462.0384, -344.23486, -122.43411, -440.76163, -349.90182, ]
nr wiersza 0, nr kolumny 2, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 0, nr kolumny 3, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 0, nr kolumny 4, [r. suma nagród Q = [217.78618, 194.69284, 193.58434, 278.8442, 214.16438, ]
nr wiersza 0, nr kolumny 5, [r. suma nagród Q = [225.69325, 146.14694, 174.45766, 270.5114, 138.85696, ]
nr wiersza 0, nr kolumny 6, [r. suma nagród Q = [131.7349, 170.36151, 115.50608, 251.26276, 157.70663, ]
nr wiersza 0, nr kolumny 7, [r. suma nagród Q = [141.06508, 168.52672, 133.72931, 237.26143, 122.319214, ]
nr wiersza 0, nr kolumny 8, [r. suma nagród Q = [151.58017, 117.690994, 118.90583, 223.75536, 103.27606, ]
nr wiersza 0, nr kolumny 9, [r. suma nagród Q = [142.24554, 80.57828, 113.069695, 205.04335, 75.656296, ]
nr wiersza 0, nr kolumny 10, [r. suma nagród Q = [24.88367, -27.712397, 43.876167, 121.43595, -22.74237, ]
nr wiersza 0, nr kolumny 11, [r. suma nagród Q = [-18.671297, -172.53285, -52.850754, -2.3562884, -104.37105, ]
nr wiersza 0, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 0, [r. suma nagród Q = [-346.28152, -99.35125, -318.2287, -307.65094, -335.6616, ]
nr wiersza 1, nr kolumny 1, [r. suma nagród Q = [-152.57349, -254.8149, -75.69432, -232.43301, -238.28426, ]
nr wiersza 1, nr kolumny 2, [r. suma nagród Q = [-249.68361, -254.92885, -63.804035, -249.69998, -254.18216, ]
nr wiersza 1, nr kolumny 3, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 4, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 5, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 6, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 7, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 8, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 9, [r. suma nagród Q = [110.33572, 56.361343, 98.202095, 69.13692, 174.78757, ]
nr wiersza 1, nr kolumny 10, [r. suma nagród Q = [-12.493138, -54.24497, -21.093178, 15.115265, 86.283195, ]
nr wiersza 1, nr kolumny 11, [r. suma nagród Q = [-85.604416, -179.34099, -71.31655, 11.111613, -76.71901, ]
nr wiersza 1, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 2, nr kolumny 0, [r. suma nagród Q = [-332.43887, -94.26906, -375.7289, -245.453, -317.7873, ]
nr wiersza 2, nr kolumny 1, [r. suma nagród Q = [-98.19396, -61.0798, -112.82615, -140.46231, -208.2976, ]
nr wiersza 2, nr kolumny 2, [r. suma nagród Q = [-152.97864, -103.92636, -45.944557, -95.11186, -147.934, ]
nr wiersza 2, nr kolumny 3, [r. suma nagród Q = [-54.630386, -7.8063407, -59.219093, -87.211395, -90.27313, ]
nr wiersza 2, nr kolumny 4, [r. suma nagród Q = [-8.304548, 48.582054, -18.025606, -21.051744, -31.612547, ]
nr wiersza 2, nr kolumny 5, [r. suma nagród Q = [13.873087, 61.614014, 0.43093044, -6.9199853, -29.19453, ]
nr wiersza 2, nr kolumny 6, [r. suma nagród Q = [41.76468, 72.055725, -27.780994, -1.4845111, -24.189701, ]
nr wiersza 2, nr kolumny 7, [r. suma nagród Q = [73.340324, 101.917854, 21.492598, 28.565208, 43.096943, ]
nr wiersza 2, nr kolumny 8, [r. suma nagród Q = [68.82697, 107.39136, 28.059555, 43.820942, 41.290043, ]
nr wiersza 2, nr kolumny 9, [r. suma nagród Q = [101.39043, 37.20174, 37.085724, 59.15025, 146.11201, ]
nr wiersza 2, nr kolumny 10, [r. suma nagród Q = [-71.3104, -41.50955, -60.098625, 80.38373, -61.970932, ]
nr wiersza 2, nr kolumny 11, [r. suma nagród Q = [-99.45651, -195.44577, -303.5799, -105.42581, -249.9738, ]
nr wiersza 2, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 3, nr kolumny 0, [r. suma nagród Q = [-229.65723, -68.16249, -214.4024, -153.42912, -259.69235, ]
nr wiersza 3, nr kolumny 1, [r. suma nagród Q = [-113.86419, -51.402813, -97.34871, -219.196, -96.63257, ]
nr wiersza 3, nr kolumny 2, [r. suma nagród Q = [-49.99902, -39.584858, -82.28695, -78.45523, -62.542404, ]
nr wiersza 3, nr kolumny 3, [r. suma nagród Q = [-28.194962, -24.12825, -64.4693, -44.970287, -56.303616, ]
nr wiersza 3, nr kolumny 4, [r. suma nagród Q = [-13.810614, -22.809994, -43.114918, -18.344917, 11.697519, ]
nr wiersza 3, nr kolumny 5, [r. suma nagród Q = [-19.065668, -38.265648, -65.35421, -45.738846, 35.508656, ]
nr wiersza 3, nr kolumny 6, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 3, nr kolumny 7, [r. suma nagród Q = [-79.51561, -52.701443, -125.36789, -97.11239, 55.16494, ]
nr wiersza 3, nr kolumny 8, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 3, nr kolumny 9, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 3, nr kolumny 10, [r. suma nagród Q = [-142.97519, -452.47885, -219.55496, -132.70209, -65.70449, ]
nr wiersza 3, nr kolumny 11, [r. suma nagród Q = [-306.0, -123.38597, -59.516052, -69.62321, -60.38396, ]
nr wiersza 3, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 4, nr kolumny 0, [r. suma nagród Q = [-158.74434, -75.30741, -252.23639, -206.5194, -215.63362, ]
nr wiersza 4, nr kolumny 1, [r. suma nagród Q = [-135.82207, -66.843925, -160.49532, -139.57497, -132.13857, ]
nr wiersza 4, nr kolumny 2, [r. suma nagród Q = [-69.354034, -45.96866, -113.07878, -83.30493, -110.02565, ]
nr wiersza 4, nr kolumny 3, [r. suma nagród Q = [-53.29151, -63.933685, -83.68871, -116.037, -33.628304, ]
nr wiersza 4, nr kolumny 4, [r. suma nagród Q = [-100.07704, -65.11115, -136.48686, -73.67566, -19.966057, ]
nr wiersza 4, nr kolumny 5, [r. suma nagród Q = [-123.019806, -137.67291, -173.97292, -85.98745, -15.34816, ]
nr wiersza 4, nr kolumny 6, [r. suma nagród Q = [-143.67055, -127.7183, -150.37383, -100.03442, -153.79214, ]
nr wiersza 4, nr kolumny 7, [r. suma nagród Q = [-121.53624, -107.44065, -126.56668, -129.93018, -118.990166, ]
nr wiersza 4, nr kolumny 8, [r. suma nagród Q = [-98.292015, -95.52556, -120.31121, -102.491875, -115.342896, ]
nr wiersza 4, nr kolumny 9, [r. suma nagród Q = [-78.00198, -74.17636, -77.00804, -81.16625, -95.24273, ]
nr wiersza 4, nr kolumny 10, [r. suma nagród Q = [-68.71324, -73.85543, -68.4292, -72.1332, -91.4318, ]
nr wiersza 4, nr kolumny 11, [r. suma nagród Q = [-121.84414, -130.48547, -221.16148, -73.59696, -338.50055, ]
nr wiersza 4, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 0, [r. suma nagród Q = [-198.7701, -129.64528, -236.84488, -237.85986, -294.83487, ]
nr wiersza 5, nr kolumny 1, [r. suma nagród Q = [-176.66803, -93.812126, -254.06471, -249.76189, -303.08716, ]
nr wiersza 5, nr kolumny 2, [r. suma nagród Q = [-183.49377, -185.86536, -211.76752, -209.6792, -65.06138, ]
nr wiersza 5, nr kolumny 3, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 4, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 5, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 6, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 7, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 8, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 5, nr kolumny 9, [r. suma nagród Q = [-61.105663, -67.33451, -61.4703, -76.14824, -66.024124, ]
nr wiersza 5, nr kolumny 10, [r. suma nagród Q = [-64.12361, -68.168304, -66.69886, -67.237816, -68.136185, ]
nr wiersza 5, nr kolumny 11, [r. suma nagród Q = [-74.81195, -192.66951, -88.599434, -67.18463, -66.9548, ]
nr wiersza 5, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 6, nr kolumny 0, [r. suma nagród Q = [-244.52498, -400.3551, -269.69177, -284.9593, -194.87108, ]
nr wiersza 6, nr kolumny 1, [r. suma nagród Q = [-319.22174, -327.37112, -351.81183, -256.9388, -383.7671, ]
nr wiersza 6, nr kolumny 2, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 6, nr kolumny 3, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 6, nr kolumny 4, [r. suma nagród Q = [49.26027, -11.23273, -12.0, 89.481575, 17.265997, ]
nr wiersza 6, nr kolumny 5, [r. suma nagród Q = [-25.771582, -23.46128, -40.16705, 36.22051, -24.0, ]
nr wiersza 6, nr kolumny 6, [r. suma nagród Q = [-26.685751, -27.418432, -39.40888, 2.7708256, -44.246853, ]
nr wiersza 6, nr kolumny 7, [r. suma nagród Q = [-34.042118, -38.150948, -48.23493, -28.8784, -42.779755, ]
nr wiersza 6, nr kolumny 8, [r. suma nagród Q = [-47.50124, -43.856617, -54.507256, -40.630684, -61.701115, ]
nr wiersza 6, nr kolumny 9, [r. suma nagród Q = [-66.61926, -63.200626, -79.1099, -54.301815, -61.679714, ]
nr wiersza 6, nr kolumny 10, [r. suma nagród Q = [-66.943726, -68.57857, -92.89799, -67.90656, -66.30407, ]
nr wiersza 6, nr kolumny 11, [r. suma nagród Q = [-113.516136, -154.23286, -93.63713, -67.607025, -90.58846, ]
nr wiersza 6, nr kolumny 12, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]

strategia:
 1 2 4 4 3 3 3 3 3 3 3 3 4
 1 2 2 4 4 4 4 4 4 4 4 3 4
 1 1 2 1 1 1 1 1 1 4 3 0 4
 1 1 1 1 4 4 4 4 4 4 4 2 4
 1 1 1 4 4 4 3 1 1 1 2 3 4
 1 1 4 4 4 4 4 4 4 0 0 4 4
 4 3 4 4 3 3 3 3 3 3 4 3 4
